,Rank,isIP,isValid,Domain_reg_len,is@,isRedirect,haveDash,SubDomain,Domain_http,LongURL,TinyURL,Label
148,1,0,0,1,0,0,1,0,0,0,0,1
149,1,0,0,1,0,0,1,1,0,1,0,1
150,0,0,1,0,0,0,1,0,0,0,1,1
151,1,0,0,1,0,0,0,0,0,0,0,1
152,1,0,0,1,0,0,0,0,0,1,0,1
153,1,0,1,0,0,0,0,0,0,0,0,1
154,1,0,1,0,0,0,0,0,0,0,0,0
155,1,0,0,1,0,0,0,1,0,1,0,1
156,1,0,0,1,0,0,0,1,0,0,0,1
157,1,0,0,1,0,0,0,1,0,1,0,1
158,1,0,0,1,0,0,1,1,0,1,0,1
159,1,0,1,0,0,0,0,0,0,0,0,0
160,1,0,0,1,0,0,0,1,0,1,0,1
161,1,0,1,0,0,0,0,0,0,0,0,0
162,1,0,0,1,0,0,0,0,0,1,0,1
163,1,0,1,0,0,0,0,1,0,0,0,0
164,0,0,1,0,0,0,0,0,0,0,0,0
165,1,0,0,1,0,0,0,0,0,0,0,0
166,1,0,0,1,0,0,1,1,0,1,0,1
167,1,0,1,0,0,0,0,1,0,0,0,0
168,0,0,1,0,0,0,0,1,0,0,0,0
169,0,0,0,1,0,0,0,0,0,1,0,0
170,1,0,1,0,0,0,0,0,0,0,0,0
171,1,0,1,0,0,0,0,0,0,0,1,0
172,0,0,1,0,0,0,0,1,0,1,0,0
173,1,0,0,1,0,0,1,1,0,1,0,1
174,0,0,1,0,0,0,0,0,0,0,0,0
175,0,0,1,0,0,0,0,1,0,0,0,0
176,0,0,1,0,0,0,0,1,0,0,0,0
177,1,0,1,0,0,0,0,1,0,0,0,0
178,1,0,1,0,0,0,0,0,0,0,0,0
179,1,0,1,0,0,0,1,1,0,1,0,1
180,1,0,1,0,0,0,0,1,0,0,0,0
181,0,0,1,0,0,0,0,0,0,0,0,0
182,0,0,1,0,0,0,0,1,0,0,0,0
183,1,0,0,1,0,0,0,1,0,0,0,1
184,1,0,0,1,0,0,0,1,0,1,0,1
185,0,0,1,0,0,0,0,1,0,0,0,0
186,1,0,0,1,0,0,1,1,0,1,0,1
187,1,0,1,0,0,0,0,0,0,0,0,0
188,0,0,0,1,0,0,0,0,0,0,0,0
189,1,0,1,0,0,0,1,1,0,0,0,1
190,1,0,1,0,0,0,0,1,0,0,0,0
191,1,0,0,1,0,0,0,0,0,0,1,1
192,1,0,0,1,0,0,0,0,0,0,0,1
193,1,0,1,0,0,0,0,1,0,1,0,1
194,1,0,0,1,0,0,0,0,0,0,0,0
195,1,0,0,1,0,0,1,1,0,1,0,1
196,1,0,0,1,0,0,0,1,0,0,0,1
197,0,0,1,0,0,0,0,0,0,1,0,0
198,1,0,1,0,0,0,0,1,0,0,0,0
199,0,0,1,0,0,0,0,0,0,0,0,0
200,1,0,1,0,0,0,0,0,0,0,0,0
201,0,0,1,0,0,0,0,0,0,0,0,0
202,1,0,0,1,0,0,0,1,0,0,0,1
203,1,0,0,1,0,0,1,1,0,1,0,1
204,1,0,0,1,0,0,0,0,0,1,0,1
205,1,0,0,1,0,0,1,0,0,1,0,1
206,1,0,0,1,0,0,0,0,0,0,0,0
207,1,0,0,1,0,0,0,0,0,1,0,1
208,1,0,0,1,0,0,0,0,0,0,0,1
209,0,0,1,0,0,0,0,1,0,0,0,0
210,1,0,1,0,0,0,0,1,0,1,0,1
211,0,0,1,0,0,0,0,0,0,0,0,0
212,1,0,0,1,0,0,0,0,0,1,0,1
213,1,0,0,1,0,0,0,1,0,1,1,1
214,1,0,1,0,0,0,0,0,0,1,0,1
215,1,0,0,1,0,0,0,0,0,0,0,1
216,1,0,1,0,0,0,0,1,0,0,0,0
